country,size,attack_type,attribution,start_of_attack (soa),dwell_time [days],attack_detected (attdet),t2ad_utc_short,soa:t2ad_delta [sec],t2ad:attdet_delta [sec],root_cause,missing_logs,artifacts,lolbins,other,pre-attack_ioc,rdp,initial_access,impact,data_exfil,exfil_volume [GB],date_of_exfil_short,soa-exfil-delta [sec],exfil-attdet-delta [sec],exfil-posted_delta
United States of America,251-500,network breach,,2024-03,0,2024-03,2024-03,110738,-57669,comped creds,,Impacket|Python,RDP|cmd.exe|svchost.exe|ping.exe|net.exe|ipconfig.exe|PsExec|reg.exe|taskkill.exe|WMI|findstr.exe|rundll32.exe|BITSadmin,MFA unavailable|unprotected systems|SMB|install service|disable protection|delete files|remove protection|enable user|modify registry|enable RDP|disable user authentication|stop services,,Yes - Internal only,External Remote Services|Valid Accounts,Service Stop|Data Manipulation|Account Access Removal,,,,,,
Taiwan,501-1000,network breach,,2024-03,2,2024-03,,,,exploit vulnerability,re-imaged,SoftEther VPN|VMware Tools|AnyDesk,cmd.exe|whoami.exe|netstat.exe|quser.exe|tasklist.exe|copy.exe|type.exe|appcmd.exe|ping.exe|net.exe|RDP|PowerShell|move.exe|ren.exe|taskkill.exe|xp_cmdshell|ipconfig.exe|notepad.exe|iexplore.exe|ServerManager.exe|SMRemoting.exe|cscript.exe|rundll32.exe|sethc.exe,exposed internal services|unprotected systems|logs missing|brute force attack|browse network|delete files|malicious scripts|create folder|modify registry|Image File Execution Options Injection,,Yes - Internal only,Exploit Public-Facing Application,Data Manipulation|Data Destruction,,,,,,
Australia,251-500,network breach,,2024-03,,,,,,exploit vulnerability,unavailable,Cobalt Strike|RDP Wrapper|AnyDesk,RDP|PowerShell|PsExec|PsKill,JetBrains TeamCity vuln|CVE-2024-27198|exposed internal services|create accounts|logs missing,JetBrains TeamCity vuln|CVE-2023-42793|PowerShell|cmd.exe|whoami.exe|ipconfig.exe|hostname.exe|tasklist.exe|netstat.exe|net.exe|route.exe|nltest.exe|systeminfo.exe|BITSadmin|WMI|create accounts|delete files|modify local groups,Yes - Internal only,Exploit Public-Facing Application,No Impact,No evidence,,,,,
United States of America,1001-3000,ransomware,Faust,2024-02,17,2024-03,2024-03,1430043,14924,comped creds,,IObit Unlocker|Defender Control|SoftPerfect Network Scanner|GMER|mimikatz|Revo Uninstaller|7zip,RDP|rundll32.exe|WebDAV|cmd.exe|notepad.exe|vssadmin.exe|netsh.exe|WMI|bcdedit.exe|mmc.exe|wbadmin.exe|regsvr32.exe,browse network|malicious scripts|lsass dump|SAM dump|install service|disable protection|stop services|delete Shadow Copy|modify firewall rules|disable firewall|disable safe mode|modify boot settings|vulnerable VPN|delete files|eol systems,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Service Stop|Inhibit System Recovery|Data Manipulation,,,,,,
United States of America,251-500,data exfiltration,Unknown,2024-03,0,2024-03,2024-03,173,6636,exploit vulnerability,,Advanced IP Scanner|WinRAR|vmtoolsd.exe,RDP|svchost.exe|Edge browser|cmd.exe|net.exe|ping.exe|nltest.exe|winrm.exe|mstsc.exe|systeminfo.exe|WMI|whoami.exe|ipconfig.exe|nslookup.exe,Fortinet vuln|CVE-2024-21762|SAM dump|browse network|create archive|enable user|vulnerable VPN,,Yes - Internal only,Exploit Public-Facing Application|External Remote Services,No Impact,Yes,5.3,2024-03,8743,-1932,
Italy,501-1000,web shell,,2024-03,0,2024-03,,,,exploit vulnerability,,,PowerShell|cmd.exe|copy.exe,brute force attack,,No,Exploit Public-Facing Application,No Impact,,,,,,
United States of America,5000+,ransomware,Black Suit,2024-02,22,2024-03,2024-03,1681561,200040,comped creds,,Impacket|Advanced IP Scanner|WinRAR|Firefox Browser|Sophos Virus Removal Tool|Chrome Browser|Notepad++|Sophos Clean|Lawson Security Administrator|Python,RDP|svchost.exe|cmd.exe|net.exe|nltest.exe|notepad.exe|Edge browser|mspaint.exe|Task Scheduler,unprotected systems|malicious scripts|create archive|browse network|remove protection|Mega (all TLDs)|uninstall application|modify local groups|create scheduled task|modify domain groups|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Possible,100,2024-03,1856701,24900,
Canada,1001-3000,network breach,,2024-02,0,2024-02,2024-02,0,60,exploit vulnerability,cleared,ScreenConnect|CoreFTP|Kleopatra,sc.exe|wscript.exe|cmd.exe|reg.exe|wevtutil.exe|notepad.exe|msiexec.exe|PowerShell|msaccess.exe|mmc.exe|Edge browser|wsus.msc|gpmc.msc|net.exe|WMI|regedit.exe|RDP,ScreenConnect vuln|CVE-2024-1708|CVE-2024-1709|install service|malicious scripts|delete registry keys|logs missing|logs cleared|uninstall application|create accounts|modify local groups|reset passwords|wdigest enabled|modify registry|exposed internal services|modify firewall rules,,Yes - Internal only,Exploit Public-Facing Application,Account Access Removal,No,,,,,
France,251-500,ransomware,0xxx,2024-03,2,2024-03,,,,comped creds,limited,nano|ping,,brute force attack|create accounts|SSH|SMB|vulnerable systems|disable protection|logs missing|MFA unavailable,,No,External Remote Services|Valid Accounts,Data Encrypted for Impact,No evidence,,,,,
Spain,1-100,network breach,,2024-03,0,2024-03,2024-03,0,12331,brute force attack,,,RDP|net.exe|nltest.exe|ntdsutil.exe,MFA unavailable|system hive collected|security hive collected|NTDS dump|abuse domain trust|tamper protection not configured,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
Mexico,1001-3000,ransomware,LockBit,2024-03,0,2024-03,,,,unknown,limited,TeamViewer|OpenVPN,bcdedit.exe|RDP,remote encryption|reboot in Safe Mode|logs missing,,Yes - Internal only,Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|System Shutdown/Reboot,No,,,,,
United States of America,251-500,network breach,,2024-03,0,2024-03,2024-03,0,5014,exploit vulnerability,,CloudFlared|Sophos Clean|Impacket|DWService|mimikatz|PetitPotam|Python,RDP|vssadmin.exe|PowerShell|msiexec.exe|cmd.exe|ping.exe|net.exe|mmc.exe|wbadmin.exe|WmiPrvSE.exe|WMI|nslookup.exe|nltest.exe,create shadow copy|lsass dump|AMSI bypass|delete files|install service|remove protection|create accounts|vulnerable VPN|delete accounts|unprotected systems|MFA bypass|abuse domain trust,,Yes - Internal only,External Remote Services|Exploit Public-Facing Application,Data Manipulation|Account Access Removal,No,,,,,
Canada,1001-3000,ransomware,Black Suit,2024-03,3,2024-03,2024-03,0,242964,exploit vulnerability,cleared|disabled,Chrome Browser|AnyDesk|Veeam mgmt software|Brute Ratel C4,RDP|svchost.exe|net.exe|ping.exe|ipconfig.exe|systeminfo.exe|cmd.exe|notepad.exe|netstat.exe|tasklist.exe|sqlcmd.exe|csc.exe|Edge browser|tasklist.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|logs missing|unprotected systems|create scheduled task|delete task|NTDS dump|suspicious files|malicious scripts|logs cleared|remove protection|Veeam pw dump|reset passwords|join domain|modify domain groups|ESXi|SSH|logging disabled|MFA unavailable,,Yes - Internal only,Exploit Public-Facing Application,Data Encrypted for Impact|Service Stop|Account Access Removal,No evidence,,,,,
United Kingdom,251-500,network breach,,2024-03,0,2024-03,,,,brute force attack,unavailable,Impacket/secretsdump|Python,RDP|svchost.exe|cmd.exe|excel.exe,MFA unavailable|SAM dump|system hive collected|security hive collected|logs missing|remove protection,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
United Kingdom,1-100,network breach,,2024-03,2,2024-03,,,,exploit vulnerability,,AnyDesk|Cobalt Strike,cmd.exe|net.exe|route.exe|nltest.exe|whoami.exe|certutil.exe|msiexec.exe|PowerShell|WMI|sc.exe,JetBrains TeamCity vuln|CVE-2024-27198|create accounts|cryptominer|Wacatac trojan|malicious scripts|modify local groups|install service|disable protection|reverse shell,,No,Exploit Public-Facing Application,Resource Hijacking,No evidence,,,,,
Germany,1001-3000,network breach,,2024-03,0,2024-03,,,,unknown,cleared,,PowerShell|net.exe|Task Scheduler|query.exe|bcdedit.exe|wevtutil.exe,unprotected systems|logs missing|logs cleared|create scheduled task|create archive,,No,unknown,No Impact,Staging,,,,,
United States of America,501-1000,network breach,,2024-03,2,2024-03,,,,comped creds,,ScreenConnect|Advanced IP Scanner|Chrome Browser|OpenSSH|7zip|Passcape Windows Password Recovery|Huorong Internet Security|Huorong HRSword|SophosZap|ESET AV Remover|mimikatz|Advanced Port Scanner|SoftPerfect Network Scanner,RDP|cmd.exe|taskmgr.exe|notepad.exe|control.exe|net.exe|msiexec.exe|mstsc.exe|echo.exe|conhost.exe|ping.exe|ipconfig.exe|PowerShell|sc.exe|Task Scheduler|mmc.exe|taskkill.exe|regedit.exe|reg.exe|rundll32.exe|hostname.exe|pcalua.exe,exposed RDP|MFA unavailable|malicious scripts|remove protection|stop process|disable protection|delete registry keys|what's my IP search|create scheduled task|clipboard data|modify registry,,Yes - Both,External Remote Services|Valid Accounts,Service Stop,,,,,,
United States of America,101-250,ransomware,CryTOX,2024-03,1,2024-03,2024-03,28915,76184,comped creds,,File Shredder|Huorong HRSword|Advanced Port Scanner|mimikatz|LostMyPassword|uTox,RDP|cmd.exe|notepad.exe|del.exe|PowerShell|Credential Manager|netsh.exe|reg.exe|nltest.exe,disable protection|malicious scripts|lsass dump|delete files|modify registry|SMB|enable RDP|remove protection|credential manager enumerated|modify firewall rules|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation,,,,,,
Germany,101-250,ransomware,RA Group,2024-03,5,2024-03,2024-03,20832,379865,exploit vulnerability,unavailable|cleared,Rclone|Impacket|SoftPerfect Network Scanner|KeePass|Chrome Browser|Python,RDP|cmd.exe|reg.exe|net.exe|query.exe|tasklist.exe|PowerShell|GPO|ServerManager.exe|quser.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|logs missing|install service|reverse proxy|disable protection|disable restricted admin|logs cleared|wdigest enabled|create accounts|modify domain groups|browse network|modify domain policies|modify registry,Metasploit|mRemoteNG|rundll32.exe,Yes - Internal only,Exploit Public-Facing Application,Data Encrypted for Impact,Yes,31.94,2024-03,25226,375471,8
United States of America,101-250,ransomware,LockBit,2024-03,1,2024-03,2024-03,0,37702,comped creds,unavailable|cleared,Megasync|SoftPerfect Network Scanner|nmap|mimikatz|AnyDesk|GMER|Dialupass|Router PassView|WebBrowserPassView|WirelessKeyView|IE PassView|Mail PassView|Network Password Recovery,RDP|regsvr32.exe|PowerShell|cmd.exe|wevtutil.exe|reg.exe|bcdedit.exe|PsExec|taskkill.exe|WMI|utilman.exe|net.exe|wevtutil.exe,logs missing|Mega (all TLDs)|uninstall application|logs cleared|malicious scripts|delete Shadow Copy|disable protection|enable RDP|modify registry|disable UAC|disable safe mode|browse network|install service|delete files|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,Yes,14.96,2024-03,25681,12021,
Canada,5000+,network breach,,2024-03,0,2024-03,2024-03,1628,62,brute force attack,,Impacket/secretsdump|Python,svchost.exe,MFA unavailable|SAM dump,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
United States of America,1-100,network breach,,2024-03,1,2024-03,2024-03,0,133879,brute force attack,,Impacket/atexec|mimikatz|SharpHound|Python,RDP|cmd.exe|PowerShell|svchost.exe|net.exe,exposed RDP|brute force attack|SMB|create scheduled task|suspicious files|disable protection|delete files|create folder|malicious scripts|MFA unavailable|delete task,,Yes - Both,External Remote Services|Valid Accounts,Data Manipulation,No,,,,,
United States of America,1-100,ransomware,Abyss,2024-02,35,2024-03,2024-02,1273311,1745081,brute force attack,cleared,OpenSSH|SoftPerfect Network Scanner|Barracuda Connect|Rclone|Impacket/atexec|AnyDesk|wget|Python,RDP|mmc.exe|services.msc|PsExec|net.exe|cmd.exe|nltest.exe|whoami.exe|ping.exe|mstsc.exe|PowerShell|wevtutil.exe|WMI|notepad.exe|ipconfig.exe|tasklist.exe|dnsmgmt.msc|mstsc.exe|dsa.msc|wbadmin.exe|vssadmin.exe|reg.exe|gpupdate.exe|sc.exe|netsh.exe|logoff.exe,logs cleared|install service|modify firewall rules|SSH|suspicious files|create shadow copy|modify registry|remove protection|logs missing|modify domain policies|remote encryption|create scheduled task|delete task|enable remote assistance|modify system time|tamper protection not configured|system hive collected|malicious scripts|EDR killer|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery,Possible,,,,,
United States of America,251-500,data exfiltration,Unknown,2024-03,2,2024-03,2024-03,99185,616,brute force attack,cleared,TeamViewer|Impacket/wmiexec|Chrome Browser|restic|Level RMM|Python,RDP|cmd.exe|PowerShell|wevtutil.exe|svchost.exe|quser.exe|sc.exe|qwinsta.exe|notepad.exe|netstat.exe|tasklist.exe|mmc.exe|Task Scheduler|net.exe|Get-ADUser|WMI,brute force attack|create scheduled task|suspicious files|SMB|SSH|install service|logs cleared|delete task|modify firewall rules|remove firewall rule|unprotected systems|malicious scripts|disable user account|MFA unavailable|logs missing|Wasabi.com,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation|Account Access Removal,Yes,3438.22,2024-03,113055,-13253,
India,1-100,network breach,,2024-03,7,2024-03,,,,exploit vulnerability,,AnyDesk|WinRAR|Chrome Browser|Impacket/wmiexec|7zip|Python,cmd.exe|hostname.exe|ver.exe|ping.exe|xp_cmdshell|whoami.exe|PowerShell|BITSadmin|tasklist.exe|netstat.exe|ipconfig.exe|certutil.exe|notepad.exe|net.exe|vssadmin.exe|quser.exe|netstat.exe|findstr.exe|appcmd.exe|w3wp.exe|RDP|WMI,exploit attempts|suspicious files|SMB|unprotected systems|malicious scripts|install service|create accounts|lsass dump|unknown cred dump tool|create shadow copy|enable RDP|modify registry|web shell|modify domain groups,,Yes - Internal only,Exploit Public-Facing Application,Inhibit System Recovery,Possible,,,,,
United States of America,1-100,network breach,,,,,,,,unknown,,TeamViewer|LogMeIn|AnyDesk|Advanced IP Scanner,RDP,MFA unavailable|no firewall|modify firewall rules,,Yes - Internal only,unknown,No Impact,,,,,,
United States of America,501-1000,network breach,,2024-03,7,2024-03,2024-03,567967,686,exploit vulnerability,,Splashtop|Atera RMM|Cobalt Strike|TightVNC|ScreenConnect,PowerShell|PsExec|xp_cmdshell|certutil.exe|vssadmin.exe|cmd.exe|net.exe|Task Scheduler|WmiPrvSE.exe|msiexec.exe|RDP|WMI,malicious scripts|NTDS dump|Fortinet vuln|CVE-2023-48788|unprotected systems|modify registry|create shadow copy|delete files|install service|create shadow copy|disable restricted admin|delete task,,Yes - Internal only,Exploit Public-Facing Application|External Remote Services,Data Manipulation,,,,,,
Singapore,1-100,network breach,,2024-03,0,2024-03,2024-03,0,32742,brute force attack,unavailable,Impacket/secretsdump|SoftPerfect Network Scanner|Python,RDP|net.exe|cmd.exe|dnscmd.exe|svchost.exe|PsExec,MFA unavailable|create folder|suspicious files|logs missing|malicious scripts|unknown cred dump tool,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
Philippines,251-500,ransomware,ALPHV/BlackCat,2024-03,1,2024-03,2024-03,,70386,unknown,re-imaged,Ngrok|Cobalt Strike|mimikatz|Advanced IP Scanner|Process Hacker|SoftPerfect Network Scanner|Intercepter-NG|PuTTy|Defender Control|Remote Utilities,RDP|PsExec|PowerShell,logs missing|install service|browse network|create accounts|modify local groups|reset passwords,Sality,Yes - Internal only,unknown,Data Encrypted for Impact|Account Access Removal,Unknown,,,,,
Spain,1-100,ransomware,Faust,2024-03,1,2024-03,2024-02,-2673647,2780431,comped creds,retention|encrypted,AnyDesk|TeamViewer|Firefox Browser|SoftPerfect Network Scanner|netcat|MobaXterm|Huorong HRSword|PowerTool|Revo Uninstaller|WizTree|Cobalt Strike|Impacket/smbexec|Impacket/psexec|Advanced IP Scanner|Process Hacker|mimikatz|LaZagne|Defender Control|Python,RDP|cmd.exe|PowerShell|start.exe|PsExec|ProcDump|gpupdate.exe,exposed RDP|logs missing|Mega (all TLDs)|remote encryption|malicious scripts|MFA unavailable|create accounts|install service|remove protection|disable protection|add exclusions|delete files|tamper protection removed|browse network|password spray|modify firewall rules,PowerShell|RDP|cmd.exe|echo.exe|WMI|malicious scripts|cscript.exe|AnyDesk|install service|net.exe|modify local groups|wdigest enabled|create accounts,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation,Yes,7,2024-03,95530,11253,
Singapore,101-250,ransomware,BlackRock,2024-02,54,2024-04,,,,comped creds,encrypted|unavailable,AnyDesk|SoftPerfect Network Scanner|Process Hacker|Advanced Port Scanner|pCloud App|Everything|Huorong HRSword|CredentialsFileView|IObit Unlocker|GMER|VNC PassView|Chrome Browser,RDP|PsExec|cmd.exe|msiexec.exe|mstsc.exe,exposed RDP|create accounts|browse network|remove protection|disable protection|malicious scripts|logs missing|modify local groups|modify domain groups|Neshta|XMRig|MFA unavailable|modify firewall rules|install service|delete files|brute force attack|password spray|reset passwords,PsExec|logs cleared,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation|Account Access Removal,Possible,,2024-03,4322088,339585,
Germany,251-500,ransomware,LockBit,2024-03,0,2024-03,,,,comped creds,,TeamViewer,,MFA unavailable|cryptominer,TeamViewer|XMRig|NSSM,No,External Remote Services|Valid Accounts,Resource Hijacking,No evidence,,,,,
United States of America,501-1000,data exfiltration,Unknown,2024-04,0,2024-04,2024-04,3653,4793,exploit vulnerability,cleared,SoftPerfect Network Scanner|Plink|7zip|Chrome Browser|LabTech RMM|AnyDesk,RDP|wevtutil.exe|cmd.exe|netsh.exe|rundll32.exe|net.exe|taskkill.exe|PowerShell|Get-ADComputer|ntdsutil.exe|ping.exe|mstsc.exe|PsExec|whoami.exe|sc.exe|bcdedit.exe,unprotected systems|web shell|logs cleared|enable RDP|modify firewall rules|logs missing|stop services|VMware Horizon|create scheduled task|suspicious files|delete files|NTDS dump|malicious scripts|modify registry|system hive collected|security hive collected|create share|MS Exchange vuln|disable safe mode|remove firewall rule|MFA unavailable,,Yes - Internal only,Exploit Public-Facing Application,Data Manipulation|Inhibit System Recovery|Service Stop,Yes,,,,,
